Time,Toa,Tiaref,P_EDC,P_LDC,qin,qinf,qve,qdhw,qdc,m_MS,m_Bu
604800,11.95,11.95,0.47645,30,200000,0,0,176400,163100,23.966358,50
608400,12.07,12.07,0.47645,30,200000,0,0,173460,164700,23.967506,50
612000,11.84,11.84,0.47645,30,200000,0,0,170520,165300,24.009129,50
615600,11.9,11.9,0.47645,30,200000,0,0,167580,167200,24.028944,50
619200,11.66,11.66,0.47645,30,200000,0,0,164640,140400,24.055754,50
622800,11.88,11.88,0.47645,30,200000,0,0,164640,182000,23.996075,50
626400,11.96,11.96,0.47645,30,200000,0,0,158760,178500,23.95569,50
630000,12.14,12.14,0.47645,30,200000,0,0,155820,177600,23.934282,50
633600,12,12,0.47645,30,200000,0,0,188160,171400,24.028704,50
637200,11.48,11.48,0.47645,30,200000,0,0,220500,170000,24.15543,50
640800,11.5,11.5,0.47645,30,200000,0,0,252840,170200,24.115723,50
644400,11.77,11.77,0.47645,30,200000,0,0,285180,179100,24.008728,50
648000,12.08,12.08,0.47645,30,200000,0,0,317520,178800,23.904163,50
651600,12.41,12.41,0.47645,30,200000,0,0,349860,178000,23.793873,50
655200,13.1,13.1,0.47645,30,200000,0,0,364560,178400,23.74822,50
658800,12.56,12.56,0.47645,30,200000,0,0,379260,174800,23.782766,50
662400,12.86,12.86,0.47645,30,200000,0,0,393960,175400,23.738647,50
666000,13.14,13.14,0.47645,30,200000.4481,0,0,408660,182100,23.763445,50
669600,12.26,12.26,0.47645,30,200000.1518,0,0,370440,176900,23.843412,50
673200,12.61,12.61,0.47645,30,199995.6088,0,0,332220,179900,23.788214,50
676800,12.74,12.74,0.47645,30,199998.5119,0,0,294000,181900,23.860704,50
680400,11.71,11.71,0.47645,30,200017.5647,0,0,255780,174200,24.123165,50
684000,11.28,11.28,0.47645,30,200005.9522,0,0,217560,171500,24.258383,50
687600,11.23,11.23,0.47645,30,199933.2543,0,0,176400,171000,24.305412,50
691200,11.07,11.07,0.47645,30,199793.8488,0,0,176400,170200,24.428337,50
694800,10.68,10.68,0.47645,30,199634.8149,0,0,170520,170400,24.514233,50
698400,10.91,10.91,0.47645,30,199897.3239,0,0,164640,170300,24.467104,50
702000,10.79,10.79,0.47645,30,200882.6239,0,0,158760,168100,24.554829,50
705600,10.54,10.54,0.47645,30,202097.7206,0,0,152880,170500,24.665405,50
709200,10.45,10.45,0.47645,30,202647.0092,0,0,147000,170200,24.677511,50
712800,10.57,10.57,0.47645,30,200690.4597,0,0,147000,171900,24.646786,50
716400,10.51,10.51,0.47645,30,195298.408,0,0,294000,171800,24.625856,50
